	iTRAQ8.113	iTRAQ8.114	iTRAQ8.115	iTRAQ8.116	iTRAQ8.117	iTRAQ8.118	iTRAQ8.119	iTRAQ8.121
O75369	0.308172796563703	0.922177752966806	0.570405836169942	1.17078264835026	0.23690616120489	-1.29466845275791	0.530769879234397	0.509736151897884
O75828	-0.245564239202679	0.209005643294567	0.0861530896279684	-0.342115308435155	-0.173464205044077	-0.326696053136416	-0.0959780079628877	0.730988684185805
O75828, P16152	2.28062326013153	2.53739264732008	2.819277408465	2.58117880357809	1.64435177015739	3.32430375457283	2.44252848032652	2.73725040807583
O76071	-1.10402688399509	-0.0678048943217142	0.447416017328658	-1.2218503778935	0.0388190099104175	-0.877205497041793	-0.4425330293416	-0.381305907597724
O94992	2.0444595134083	0.893350055300665	1.26143670467442	1.06995592885731	1.45097045337977	0.468301154285777	0.8524662674659	2.12340563851486
O95399, P11021	1.44741019919376	1.44708912237201	2.42680849754633	1.92926046357592	2.0679036157698	2.52451166048333	2.25148537890586	2.33355509355617
O95573	0.568883972397599	1.17817619356497	2.53646889042413	1.39880684749527	1.82306876397614	2.16790265701829	1.09677647514598	2.97591432542138
O95861	-1.12294880584114	-0.804294571144691	0.270004453051429	-0.178519417414675	-1.29726815454808	-0.787084941697707	-0.878178379333077	-0.549603201926763
P00167	1.78559495223157	0.556121812057455	-0.824315779791991	-1.55559041599248	0.164028297061621	-0.560144619699294	-1.14907805718572	0.795821486524485
P00505	0.566923825560798	0.619788501445985	2.57818486616631	1.03173844490233	0.492654590569828	-1.01621677639816	0.402323615613657	1.93358073462742
P01009	0.776340767852876	0.308368423248449	0.731918285124571	-0.20721373982531	0.527756617740057	-0.475224152134631	0.696837102148763	0.899617898711762
P01591	2.07600494705036	2.3825618657089	2.01695705581585	3.61170250682761	2.43352686728173	3.50663650808068	1.67221466048158	2.79476146530372
P02042, P68871	2.77609591697673	1.17454137097893	-0.168012674563066	4.16373642212019	1.14572117630969	0.693388701765795	0.583486602625516	0.0283352089148414
P02533, P08779	0.528095078735943	1.93094270240423	1.67643827224824	3.20308699563185	1.64246578579012	3.08560206926214	1.57312016980923	3.0949433881009
P02545	-0.596212267991106	-0.0503677756360314	0.0512581843283452	-1.24913679395748	-0.491045579203268	-1.61939103303531	0.0202963650050946	0.39984254941832
P02768	6.22762221486981	6.27295048047084	5.64789749330767	5.50474306791235	5.34127227399928	5.15717811883569	6.26627510945784	5.54327664567378
P04040	0.163418062889529	-0.094189889526023	-0.334495566667663	0.47721476906564	-1.09182544714975	-0.598862643397961	-0.0193147302063097	-0.467846689049265
P04196	-1.00711268532251	0.267248077801393	0.520070551158062	-1.04854780835784	-1.26045777238481	-0.814301704048458	0.45618208398559	0.0699821713638324
P04908, P0C0S5, P0C0S8, P16104, P20671, Q16777, Q6FI13, Q71UI9, Q7L7L0, Q8IUE6, Q93077, Q96KK5, Q96QV6, Q99878, Q9BTM1	6.57605639919056	6.89479264531119	6.86700916651264	6.29472926983583	7.3318842273753	7.05518661280988	6.7331266181938	7.47603481573863
P05141, P12235, P12236	1.97711066760461	2.97903737864744	3.29892133070483	2.35103623031111	2.93004991063798	4.15159081047035	3.2676741976278	3.30685285425887
P05141, P12235, P12236, Q9H0C2	-0.340975817366473	0.820063290331923	0.917771548248032	0.135506950935367	0.433922204621426	0.913854730441898	0.809611092321941	0.570248079194478
P05164	1.5867928540002	-0.0526526997707766	-0.16697369389418	1.21066235928655	1.03708220199534	3.83055312210514	0.336289086702353	-0.290949987009364
P05165	-0.378109111099336	-0.276822351666551	-0.152673495565578	-0.797299274131804	-1.02457582125375	-1.65877500893539	-0.981866589380397	-1.17124203066486
P05413	1.84476048787684	0.123188858956997	1.15370587476543	1.5515793943168	0.164775692261376	0.283944158570838	3.74046838930821	0.563932150913072
P05455	1.13214687844371	1.86644703786967	2.30966582812028	1.63528114943014	2.04839669394723	2.09907898751085	2.12021577391007	2.5766046682459
P06454	0.605632778702593	-0.165846475597285	-0.521533803041142	0.0117790861265306	0.494588552960594	-1.17960140908614	-0.374547605970474	0.552707956684377
P06733	0.118838540953296	0.17361358682273	2.26429552979682	-0.18084643300616	0.693636375779809	0.318567968756796	1.61059431428634	1.45336626132317
P06744	0.492628434218966	0.336898609179626	2.06387530920325	0.488853350605162	0.357648712848505	0.233033980605155	0.632022887038963	1.36755216416282
P07305	-0.437530906595793	1.24204976904548	1.50297494849989	0.216170412914774	0.398552501790727	1.06980641164801	0.884626103724942	3.91100058915053
P07384	2.07138171618483	2.43057124184416	3.09726006870999	2.54967241764549	2.09011547898672	1.02554720656509	1.31833912550127	3.59339063144809
P07947	-0.997458545187007	0.207258827946184	0.881355388965165	-1.31018257544186	0.0541635183253728	0.850108100106343	1.12867114282712	-0.467441641979349
P08559	-0.127128043936306	-0.491629181206642	-0.721799510278707	-1.55606281123895	-0.152500451780428	-1.07335885948909	-0.530847538244439	-1.0323125475073
P08729	-0.712145286677802	-1.09511167385153	0.330038958708868	-0.44276662114022	-0.486886150172281	-0.542436653815374	-0.366475731252187	-0.568811902272952
P08865	2.77104868319549	3.36678947585482	3.74373317117189	3.24481467693658	3.33989599570869	-0.563179677140801	3.35583573220576	4.08260552538268
P09622	1.18874542079512	2.54805778247273	2.55268537420528	1.66761838685946	1.68193918737737	2.10950924908926	1.92599668916208	2.84177372299717
P09661	1.13447714381446	1.0599526683281	1.56474653784725	1.31224828451377	1.7964712725638	1.45330302297644	1.29332201845217	2.12686747762776
P09936	-0.299107318068653	-0.175672267692125	-0.488885165332169	-0.881736408850417	-0.0294679035965988	0.414290971014719	1.92438136817387	0.206938466128538
P0C0L4, P0C0L5	0.359401500303189	1.56133003538543	1.13683024405304	1.50344674867513	2.34523203319854	1.07583165372329	1.19519271831934	0.607764028747049
P0DME0, Q01105	1.41908782363328	1.08294937948082	1.70704017365169	0.49680505560552	1.34996603117357	1.78597086956485	1.59995187770999	1.85821510696329
P10586	-1.4782418428955	-0.299525391139118	-0.877431832270299	-0.0813302218328324	-1.00380717564537	-0.855051604618364	-0.508472656865429	1.05905321113003
P10909	-0.318155715395692	-1.38384127361444	-0.461633566177656	-0.803093032252576	-0.650551770343239	-0.768518426338986	-0.601604638157971	-1.13398359999537
P11117	-0.388581731074497	0.333722155902398	0.717324399649248	0.133554639508064	-0.264772086148129	1.72271432149838	1.17631544700762	1.34539110496951
P11586	-0.149626436646724	1.09679763386049	1.25542859097974	-0.571379519172664	0.956560014605989	0.910796271837004	0.505340851241378	1.96797210467767
P11678	0.308969675185253	-1.20130746898343	0.994204313600449	-2.68231841681114	0.667861377789322	2.06657264150015	2.24971225564186	0.652534257493315
P12110	1.42274016016134	3.10424852374606	0.886180894682942	-0.33235502069851	3.87111595058362	3.33825527259324	4.22315151419191	-0.476928274122745
P12111	-0.759372519237827	0.679722233814378	-1.15573570187066	-2.53632427430679	1.52996278837439	1.13842664737356	1.64311169751622	-2.4091342165844
P12814	-1.05044481300783	-0.00205456620903814	-0.235267887406996	-1.77796950220907	-0.527267291595397	0.652746344523162	1.14057054612782	-0.596263311253518
P13010	-0.444750478477177	0.698436047095979	1.4520424464881	-0.282361242326388	0.592307339489392	0.134898035844154	0.967888631944838	1.65917470402569
P13639	2.33173213116412	3.47669696164515	4.42024415986482	3.3014750769535	3.58825148940321	2.45537910561892	4.09214509764551	4.37120415320145
P13646	-2.18952001419093	1.2307325049473	-0.498386127655323	2.01926594369344	2.18626546053432	0.0483499520877213	-1.23811561513623	0.8529821798248
P13647	1.14968958665352	0.499488561371274	1.13356783484632	0.74367444206033	4.20375570211075	0.763424552933028	-0.215617763016118	3.28248056050484
P14618	3.10461321035064	2.90928792695789	4.17435860109385	3.78973421343638	2.92061731263948	0.378539005782321	3.28835285790495	3.97271337985412
P15531, P22392	0.5602963630598	1.02554813100965	1.57577839822701	1.25506474503283	1.58365557723925	1.19125916085536	1.50814636843212	1.43185335680161
P15924	-1.51337422161997	-0.0542533297735268	0.504671667914714	-0.78364028963496	1.94441758473754	0.982336481393242	0.234115455640149	2.82777725559364
P16144	-1.30585772519784	-0.130316367819644	-0.465453354786874	-0.870212351831151	-0.473401893432007	-0.869154406013955	-0.632785693066285	-0.173897752543505
P16435	0.295045165655912	0.665482159027506	1.51047526198291	0.79777475100477	1.82879844395707	2.35016302837745	0.943361733834485	3.41748561202828
P17174	-1.35987498560402	-0.420114920107492	-0.0816936135697705	-0.377571084871981	0.287646964516165	-0.861915523580558	-0.446761319070985	0.355990863717663
P17655	-0.774959604847504	-1.28227568158103	0.542924936962587	-1.18197053117254	-1.68483083054088	-0.635659865909691	-0.0950090957846719	0.0576168626002894
P18621	0.331163384255918	2.22520591286566	2.81701912425381	0.864871923854787	2.04157050262024	2.43415260150498	2.42319221673215	3.14590347942739
P20645	1.33565046555184	1.26122987591515	2.11584366874435	1.1114027580444	0.970578725358607	1.74485885386662	1.07216169606907	2.04933335315477
P20810	2.43334042247737	0.383140955999561	0.875338887306464	0.720395674902445	0.478022762127429	0.432430468843659	-0.355470018574179	1.23365404687217
P21333	0.512161190366792	0.206645351935284	0.111537930900338	-0.934200882616619	0.750698415437299	1.35548269497248	1.68452858505142	-0.525919415498651
P22102	2.37937689538621	3.33378688882465	4.05175603098724	3.09149143821275	3.48652441749574	2.36443092736985	3.97972756506507	3.48491559744
P23193	2.84076029248894	2.23038400159974	2.26014361982795	2.77423793459792	2.95123545964087	2.33290236081351	2.27601876066182	2.32229360107057
P23246	0.217423133963772	1.11195932091296	1.30102799231313	0.437092748543421	1.05185377985958	-0.0808606736686511	1.34080193064103	1.59920402505725
P23588	2.05830063796275	0.694585237558691	1.02566238112898	1.48376191389313	0.954046786960718	0.961058023111631	1.12006169239734	1.71774677466933
P24752	1.0286608993823	1.29359979733265	1.57405055497354	0.92099258819521	1.10948603068135	1.14740038955977	2.14908664085091	1.14287401697616
P25311	0.898875993495073	0.0995948836146621	0.494359900380996	0.360162993830803	0.348333260519327	1.19778814397863	1.29978784794862	0.127010600054225
P26378, Q12926, Q15717	1.06017320577619	2.98212134468722	3.27929460051993	2.07445547924873	2.40307451661164	2.38550830239801	3.0444183944492	3.14435739389231
P26447	4.62983270611612	2.72077217623545	1.64883409352637	3.41300984583978	-0.727820832381182	0.221033273738328	2.29472847586609	-1.23302110373396
P27105, Q8TAV4	-0.30777411048823	1.45159335637929	0	1.27155031400341	1.24255842781712	2.27239447927008	1.66185769875577	1.0699501297239
P27361	-0.604314792407147	-0.420219001239174	0.422561629521795	-1.20769408658811	-0.44119325773903	1.07295106250186	0.457259848069549	0.300062771979505
P27708	-1.21223466822443	-1.66806099191993	-0.871697966459978	-0.923327145319131	-1.47538081285908	-0.883922091665449	-0.815544221408233	-0.0220699596030531
P28070	-1.97110532582028	-1.01650465404128	-0.474762993807506	-0.769899453760742	-1.00100710617661	-0.19006094394417	-0.197622769497565	-0.189751215307492
P29466	0.87027199941269	1.4531199049434	1.84623649542179	0.910968041223226	0.543541386130968	1.14409932930531	1.45223828408123	1.47699288472517
P30101	3.38643457576637	3.80035151091228	4.5770050737201	4.49784238728066	4.71947126350178	4.49809584050041	4.46819284467693	4.03626436020568
P35579	2.89225271365416	3.62970536589418	3.82164196498682	2.80962311645534	3.83802702920163	3.52209167760961	4.28751937903099	3.36705088519416
P35580, P35749, Q7Z406	1.43231162212606	2.03313215409989	1.23799233840995	0.90249632858001	1.77014433540074	3.85152752703805	2.78143412919951	1.72559412888468
P35613	1.89807952785884	0.749031344599344	2.27771273655069	2.42960126530464	1.29598260760269	2.15549374495946	1.65253429291941	2.71290476936877
P36543	-0.754331652990183	-2.08229714418004	-0.739237594219416	-0.581683483840949	-0.599666050138692	-0.998314114910935	-1.02488131030605	0.0685757683809138
P37802	2.85478619377828	2.88839746145605	1.89838568018394	2.82652751540992	2.5147506150732	-0.740128501896986	2.07326302065589	0.685330734788183
P38117	2.46948383560141	2.52072319612842	2.9111976972903	1.88795465773911	2.46707230280008	2.31596656050983	2.01046151551777	3.04222998731423
P39023	-1.52755828373441	1.81894204339081	1.70533664926519	0.552518608869806	1.4173360857087	2.2190150415079	2.13171110534328	2.56253462540272
P39023, Q92901	-0.800126174786444	0.390911185977865	0.703197368514447	-1.95345281182169	-0.477572110231515	-2.24579786573082	-0.062306082764179	0.682058269008065
P39060	2.29626808237294	4.16018841177205	2.54234029858205	2.08364160331844	2.83362370392794	1.9300756315595	3.99566045008715	1.17389194674556
P41250	0.632949872775605	1.00632205036129	1.89373635014525	1.46031036533502	0.756953743317945	1.69096779402418	2.8311389677273	2.95759052400784
P42167	0.588112273270401	1.64038697007586	1.83738233806943	0.898425352433865	1.92303007532037	0.996611033690468	0.948199498027863	2.69611311105608
P42285	0.305168801262051	1.2179876565059	1.6082142275402	0.754531169950536	1.87815989260269	1.11558527203863	1.14706556017409	1.76929669099604
