channel	sample_group	sample_name	sample_orig	spec_dir
113	Group 1	Sample 113	Control	IN
114	Group 2	Sample 114	Tetr	IN
115	Group 1	Sample 115	Control	IN
116	Group 2	Sample 116	Tetr	IN
117	Group 1	Sample 117	Control	IN
118	Group 2	Sample 118	Tetr	IN
119	Group 1	Sample 119	Control	IN
121	Group 2	Sample 121	Tetr	IN
