	iTRAQ8.113	iTRAQ8.114	iTRAQ8.115	iTRAQ8.116	iTRAQ8.117	iTRAQ8.118	iTRAQ8.119	iTRAQ8.121
Q92542	-2.63870654128185	-3.58759202227523	-2.48180224249797	-2.7319701400673	-3.40398083635201	-2.68641791860532	-3.56893746509209	-3.43251256405117
Q92626	-4.18779004691661	-1.99497883920632	-2.91652971831576	-3.69009331777386	-3.30912608898675	-3.18143824504766	-2.71867766542512	-3.04332983334034
Q92878	-4.41245626399214	-2.33193581042204	-2.60916614478349	-3.41973257340787	-2.51946512088175	-3.75541531463403	-2.8932821885026	-3.13247934240766
Q92879	-3.57177348399988	-2.65766474821081	-2.60734369827807	-4.39697087713724	-4.11871606729608	-3.44833876810889	-2.27325223311005	-2.39728113172649
Q969G5	-1.9802442339649	-3.11295103874145	-3.6807394756288	-4.18675379246264	-2.88114181648291	-2.8304710401166	-2.91040072852905	-3.49420431382878
Q969T9	-3.56354467089217	-3.23399903954717	-3.28097200665792	-2.76514981986813	-3.39937198710282	-2.01766006955702	-3.16703379461767	-3.23660656493398
Q96AA3	-3.94618079939491	-2.52950104093555	-2.44514606379187	-3.56894903945174	-3.08728773968754	-3.63984236639531	-2.76891412950285	-2.7424010408154
Q96EY8	-3.36838095936284	-2.77880566144414	-3.2256687124714	-2.85724393101827	-3.03149375787707	-3.63323241938392	-3.58785267392433	-2.14244069887476
Q96KP1	-3.65991113931469	-2.86339824703026	-2.61327861012072	-3.20221807257691	-3.14658276768602	-2.76800530288331	-3.38744058000183	-2.6794482680354
Q96P48	-3.91104988521073	-3.48400260050383	-2.30281418972584	-3.49776408718616	-3.03131761200923	-3.64760214541697	-2.65082567582759	-2.38367025223083
Q96S44	-4.02797684237669	-2.79609179184665	-3.02475891099092	-4.04363707354939	-3.13433648046599	-2.72631842013232	-2.73941906398172	-2.34761735209784
Q99459	-4.56952192624662	-3.27118085270276	-2.78977692316951	-4.14813804860236	-2.84566183190905	-2.61811000553104	-2.40503067019723	-2.62152666551497
Q99623	-4.60040478447383	-3.13765622394362	-2.71466316102816	-3.7769716810407	-2.65528517468332	-2.94700601503389	-2.90766878659865	-2.33503611290299
Q99715	-4.7775425146246	-3.79085478260759	-4.48252067095802	-4.47687718582978	-3.9519675720903	-3.08921028911967	-0.744103259846693	-5.47461278178883
Q9BQ04, Q9BWF3	-4.38936836267963	-2.77670693938793	-2.67723500829188	-3.81221453022643	-2.86708511232684	-3.25039034506555	-2.55106342223174	-2.5902766685231
Q9BSJ8	-3.58123737795793	-2.67351254619452	-1.84638560633915	-3.5525784927262	-3.70663260016335	-3.9066673509323	-2.84027207633527	-3.13938502510924
Q9BUJ2	-3.77834703582555	-2.82522799946485	-2.54873376825719	-3.37037415807845	-3.48247088671911	-2.86751116044534	-3.14976702861607	-2.47992666707691
Q9BUQ8	-4.83051956975448	-3.2187800188064	-2.61013997138129	-3.64701850950682	-3.12053725595615	-3.17485196487268	-2.90006937898676	-1.97620915712945
Q9BV44	-3.26999808758839	-2.66541181856868	-3.10067974065136	-3.78485148356211	-3.27060288351214	-3.16540525933159	-2.29198836911511	-2.94001551640344
Q9BW04	-1.00773935495545	-4.02789314756246	-3.67411436464646	-2.39101031902848	-5.67091209363211	-4.58739988171218	-4.39807926522389	-3.9718970705133
Q9BXJ9	-4.85367644841045	-3.23121655803374	-2.32946924710058	-7.05369046231246	-4.05589303140491	-2.09810110066742	-2.49109196087693	-2.46690884075491
Q9BYC9	-4.39028541048791	-2.63427218013261	-2.35262964409783	-3.80494211689135	-3.66534123904624	-3.54967754583654	-2.79546301109506	-2.21319066376673
Q9H0C8	-4.34483969223724	-2.79015134533206	-2.96307440800587	-4.55609117264958	-2.72299626414571	-3.76527652521922	-3.08667188011613	-1.7722404652651
Q9H0D6	-3.55330064823147	-2.46984245780566	-2.77071210491593	-3.39706416092002	-2.83353952786511	-5.41028247037186	-2.79324478811516	-2.43607521466685
Q9H2P0	-3.44987458586721	-2.75027805343292	-2.85121695682193	-3.69426528228313	-2.62362314754468	-4.78236655771828	-2.76706449953313	-2.33256201661775
Q9H3K2	-4.07782971876051	-2.1431137707811	-2.61593334538389	-3.40628256837258	-2.7512230331045	-3.57973083931446	-3.2667051693384	-3.04833792751643
Q9H583	-4.94569452336204	-3.2900478992323	-3.32006188436449	-4.8438599691538	-3.56118428051369	-1.60007353802851	-2.664965099289	-2.66098860371232
Q9H5N1	-2.46591621160692	-3.4836803423151	-2.39868160617527	-2.87028489612106	-3.42722778127556	-3.10876541631442	-3.93838010864077	-2.9534983123203
Q9HBL0	-3.71348855958286	-2.6090420273924	-4.03666279500059	-4.49428188149098	-3.06374259374972	-2.1816243167679	-1.99126715373362	-3.98810381085646
Q9NPQ8	-3.52860942351405	-2.69938690094902	-2.51883620146022	-3.84124652555525	-3.34323169893171	-3.28578063851759	-2.64900542380388	-2.69307453630947
Q9NUU7, Q9UMR2	-3.81396316087702	-2.62298282840484	-2.04955509349711	-4.81110946864683	-3.63713295443873	-3.66054663173472	-2.86746295526634	-2.37403680342944
Q9NVP1	-5.40197592527898	-3.11044463952163	-2.86336537277982	-5.71331834599699	-2.8879749594833	-2.50532292570843	-2.71563043793036	-2.05510546615801
Q9NYL9	-1.9894316774959	-3.24941049367746	-2.89517567528777	-3.60173879891063	-3.72274149177382	-3.28083416063894	-3.04693998270849	-2.98181386126189
Q9NZJ7	-3.68928837284158	-2.02660565011526	-2.43072042858783	-3.82385574534962	-3.75769017400159	-3.49846899862164	-3.26514813482331	-2.69401817811001
Q9NZM1	-3.57488220014145	-2.44706677525861	-2.11760537992542	-4.0956869078914	-2.83471417275062	-3.98757031387981	-3.13389488040468	-2.98113035287061
Q9P0M6	-4.18006923767389	-2.45570520163452	-2.00990397191239	-3.81125235030806	-3.40412613901905	-3.44338732157049	-2.846738869067	-3.08776714296693
Q9UBX3	-3.23025701469333	-2.79495073805225	-3.04775285366745	-4.79456004386696	-3.78800163063119	-2.25988440122113	-2.76306784877943	-2.60916686442797
Q9UDY2	-4.11079016303641	-2.45018644783021	-2.60158717338327	-3.26109924037382	-4.41996227495195	-3.33812525206828	-2.89232448800221	-2.25302281197493
Q9UHL4	-4.20878958228766	-2.78210890814529	-5.18311794991046	-3.56284993516364	-2.78466860522814	-3.06262096932284	-3.08323227029634	-1.71031929046925
Q9UIA9	-3.9038347553636	-3.16506539835949	-2.50549476237422	-4.49179719081985	-3.08181156985781	-3.13489143777861	-3.76319420919712	-1.75850045650109
Q9UJS0	-3.51955295559609	-3.36869582668255	-2.94229913808819	-3.49573456128337	-2.75496910469936	-2.79149687763895	-3.24523693302505	-2.32767475404442
Q9UJX3	-3.08998736789773	-3.08197361293774	-3.27470686044688	-2.02751062218099	-3.28400572754	-3.62647134066447	-2.34960607081742	-4.79485794315865
Q9UK45	-3.64225796131319	-3.09366817073583	-2.83678381440751	-3.26305235430381	-3.41973869677637	-2.93004222520008	-2.53745357706458	-2.62834950732178
Q9UPN3	-4.28040836377706	-3.70487669695606	-2.89350342283643	-3.43233646402676	-3.87591486816282	-3.23778725971198	-2.99099627879065	-1.53640830546281
Q9Y2B0	-2.75932626686373	-3.22138094176265	-2.5146089056435	-4.05994740276177	-3.36253682943883	-3.09634848309193	-3.36962849990505	-2.32741914809516
Q9Y315	-3.91377486552526	-3.33935414110685	-2.90591900720391	-3.84634577792014	-2.7621776023631	-2.21894220275386	-3.46824669742755	-2.47916120962342
Q9Y3A5	-3.9664275277207	-3.07317412651223	-3.06076597259917	-3.67637954959754	-3.18058240416863	-3.14080566655598	-2.64773016282318	-2.0837002445434
Q9Y3I0	-4.35211975271698	-3.01130609805173	-2.73230404134796	-3.81966300787699	-3.04497160693897	-3.24277589467395	-2.60163723343167	-2.22331121608957
Q9Y6C2	-2.1750686106463	-3.48678301838282	-5.24583703127132	-5.39348231038228	-2.62940466677217	-2.46981466811715	-1.79878435805642	-6.6906598387234
