	iTRAQ8.113	iTRAQ8.114	iTRAQ8.115	iTRAQ8.116	iTRAQ8.117	iTRAQ8.118	iTRAQ8.119	iTRAQ8.121
P07384	-3.42442999465945	-3.05946166197769	-2.38919263564254	-2.99395615736049	-3.42777561363633	-4.36579171337019	-4.08196079226524	-1.88888971020203
P07947	-4.26820580899521	-3.06348843586202	-2.38939187484304	-4.58092983925006	-3.21658374548283	-2.42063916370186	-2.14207612098108	-3.73818890578755
P08559	-2.48588082689393	-2.85038196416427	-3.08055229323633	-3.91481559419658	-2.51125323473805	-3.43211164244671	-2.88960032120206	-3.39106533046492
P08729	-3.27646604192216	-3.65751561263709	-2.24052473786746	-2.98654031884898	-3.0413752359778	-3.09170306235134	-2.94953112879335	-3.16419223541809
P08865	-3.51963058170311	-2.90480642672452	-2.5250783927938	-3.11947815350082	-2.89686217677951	-7.19825845965064	-2.93485953449665	-2.19338013993765
P09622	-3.96133483812247	-2.55502501640579	-2.6710538829522	-3.37638654882648	-3.36042147044835	-2.97817907964918	-3.25447038248193	-2.44792206153633
P09661	-3.37347141678623	-3.44799589227259	-2.94320202275345	-3.19570027608693	-2.71147728803689	-3.05464553762425	-3.21462654214852	-2.38108108297293
P09936	-3.6518377725876	-3.52840272221107	-3.84161561985112	-4.23446686336937	-3.38219835811555	-2.93843948350423	-1.42834908634508	-3.14579198839041
P0C0L4, P0C0L5	-3.98196701560121	-2.78003848051898	-3.20453827185136	-2.83792176722927	-1.99613648270586	-3.26553686218111	-3.14617579758506	-3.73360448715735
P0DME0, Q01105	-3.04838733770692	-3.38452578185938	-2.76043498768851	-3.97067010573468	-3.11750913016663	-2.68150429177535	-2.86752328363021	-2.60926005437691
P10586	-4.17846507110034	-2.99974861934396	-3.57765506047514	-2.78155345003767	-3.70403040385021	-3.55527483282321	-3.20869588507027	-1.64117001707481
P10909	-2.59493919864154	-3.65954072935496	-2.73409976731535	-3.04819758967172	-2.91967058438928	-3.05101556402916	-2.86480727060407	-3.41025573070374
P11117	-4.16459531793583	-3.44229143095893	-3.05868918721208	-3.64245894735327	-4.04078567300946	-2.05329926536296	-2.59969813985372	-2.43062248189182
P11586	-4.0806502422571	-2.83422617174989	-2.67559521463064	-4.50240332478304	-2.97446379100439	-3.02022753377338	-3.425682954369	-1.96305170093271
P11678	-3.68442413159291	-5.19470127576159	-2.99918949317771	-6.6757122235893	-3.32553242898884	-1.92682116527801	-1.7436815511363	-3.34085954928484
P12110	-4.47879138673723	-2.79460577696149	-4.80378394341858	-5.73681700221264	-1.99674235505186	-2.50795030113033	-1.66348185356208	-6.11531183385918
P12111	-4.24668543731107	-2.80759068425887	-4.6430486199439	-6.02363719238004	-1.95735012969886	-2.34888627069969	-1.84420122055702	-5.89644713465764
P12814	-4.00551388336016	-2.95712363656137	-3.19033695775933	-4.7330385725614	-3.48233636194773	-2.30232272582917	-1.81449852422451	-3.55133238160585
P13010	-4.23480565609098	-3.08376255558912	-2.31362243897646	-4.03499046091597	-3.18217862924168	-3.62780223725647	-2.7899264128039	-2.11327814616214
P13639	-4.32592084737211	-3.18442240366715	-2.29231066327529	-3.41212087921542	-3.09617665465499	-4.20667252119428	-2.58980345689717	-2.28739752819235
P13646	-6.12142738347297	-2.68826741790139	-4.42227280116999	-1.89899107083457	-1.73258309061218	-3.89085318702277	-5.18040839531618	-3.06113107660411
P13647	-4.10644792955208	-4.75664895483433	-4.12256968135928	-4.51246307414527	-1.05238181409485	-4.49271296327257	-5.47175527922172	-1.97365695570076
P14618	-3.21185130204517	-3.44339165686961	-2.09294662462957	-2.77417238298092	-3.46541265354528	-5.02571473154259	-3.12890190944966	-2.44209134282833
P15531, P22392	-3.7399169659249	-3.27466519797505	-2.72443493075769	-3.04514858395188	-2.71655775174545	-3.10895416812934	-2.79206696055258	-2.86835997218309
P15924	-5.63551260758941	-4.17639171574297	-3.61746671805473	-4.9057786756044	-2.1777208012319	-3.1398019045762	-3.88802293032929	-1.29436113037581
P16144	-3.73574886571272	-2.56020750833452	-2.89534449530175	-3.30010349234603	-2.90329303394689	-3.29904554652883	-3.06267683358116	-2.60378889305838
P16435	-4.52970846277903	-4.23251960692311	-3.28773158950939	-3.98198856763043	-3.02706964147916	-2.49378052406932	-3.9133827296014	-1.42956875649592
P17174	-4.09020689641823	-3.1504468309217	-2.81202552438398	-3.10790299568619	-2.44268494629805	-3.59224743439477	-3.1770932298852	-2.37434104709655
P17655	-3.31719811077627	-3.8245141875098	-1.99931356896618	-3.7242090371013	-4.22706933646965	-3.17789837183846	-2.63724760171344	-2.48462164332848
P18621	-4.92121864525302	-3.0249086994401	-2.49864809932145	-4.39608132875155	-3.20763287437696	-2.85780199754541	-2.8527290172578	-2.0888284945451
P20645	-3.18595675967116	-3.26037734930785	-2.40576355647865	-3.4102044671786	-3.5510284998644	-2.77674837135638	-3.44944552915393	-2.47227387206823
P20810	-1.57235142989746	-3.62255089637527	-3.13035296506837	-3.28529617747239	-3.5276690902474	-3.57326138353117	-4.36116187094901	-2.77203780550266
P21333	-3.11243134348273	-3.41794718191424	-3.51305460294918	-4.55879341646614	-2.87389411841222	-2.26910983887704	-1.9400639487981	-4.15051194934817
P22102	-4.00820335528388	-3.05379336184544	-2.33582421968286	-3.29608881245735	-2.90105583317436	-4.02314932330025	-2.40785268560503	-2.9026646532301
P23193	-2.68609267694635	-3.29646896783556	-3.26670934960734	-2.75261503483737	-2.57561750979443	-3.19395060862179	-3.25083420877347	-3.20455936836472
P23246	-3.73116019163869	-2.83245964900578	-2.66900265771732	-3.69037304354369	-2.9230913793498	-3.97313170517671	-2.65418303294306	-2.35675570158932
P23588	-2.26695783105365	-3.619915984584	-3.28032827355714	-2.87272697401368	-3.35482385741232	-3.36331242224639	-3.17907453194854	-2.5897589781141
